id,title,inferred_technology_tags
proj-cs230-001,STANCE DETECTION ON MALAY POLITICAL DISCOURSE USING MULTILINGUAL TRANSFORMER,NLP / Transformer
proj-cs230-002,EMOTION RECOGNITION IN CONVERSATIONAL TEXT USING MALAY TRANSFORMER,NLP / Transformer; Sentiment Analysis
proj-cs230-003,FORECASTING PUBLIC SENTIMENT TRENDS ON CELEBRITY RELATED POSTS FROM X PLATFORM USING LOGISTIC REGRESSION AND LSTM,Machine Learning; Data Analytics
proj-cs230-004,JELAJAH VR: AN IMMERSIVE VIRTUAL REALITY LEARNING SYSTEM WITH ADAPTIVE TIMELINE NAVIGATION FOR SECONDARY SCHOOL HISTORY EDUCATION,AR/VR / Game
proj-cs230-005,A REAL-TIME WEB-BASED FOR AUTOMATED WALL DEFECT DETECTION USING INTEGRATED EFFICIENET B0 WITH ATTENTION-BASED YOLOV12,Deep Learning / CV; Web / Dashboard
proj-cs230-006,MUSLIMAH PERIOD TRACKER: AN ISLAMIC-BASED MENSTRUAL MANAGEMENT APPLICATION,Mobile App
proj-cs230-007,MULTI-DRONES PATH OPTIMIZATION SYSTEM FOR AGRICULTURE USING HYBRID ACO AND PSO,Machine Learning; GIS / Navigation
proj-cs230-008,GENERATIVE AI LEARNING SYSTEM WITH ENGAGEMENT FEATURES USING RETRIEVAL-AUGMENTED GENERATION (RAG),Generative AI / RAG
proj-cs230-009,HYBRID GROCERY RECOMMENDER SYSTEM FOR BUDGET FRIENDLY AND HALAL-CONSCIOUS SHOPPING IN MALAYSIA,Recommender System; Data Analytics
proj-cs230-010,GAME RECOMMENDATION SYSTEM USING HYBRID MODEL AND MACHINE LEARNING SENTIMENT ANALYSIS,Machine Learning; Recommender System; Sentiment Analysis
proj-cs230-011,PERIODIC PRICE AND TREND ANALYSIS USING RANDOM FOREST CLASSIFICATION ACROSS DIFFERENT ONLINE SHOPPING PLATFORMS IN MALAYSIA,Machine Learning; Data Analytics
proj-cs230-012,Hybrid MobileNetV3-EfficientNet Feature Fusion and Linear Support Vector Machine Framework for Malaysian Herb Taxonomy,Deep Learning / CV; Machine Learning; AR/VR / Game
proj-cs230-013,AVIALEARN: A GAME-BASED LEARNING FOR AVIAN EDUCATION AND AWARENESS IN MALAYSIA,AR/VR / Game
proj-cs230-014,DEEP LEARNING-BASED HERO AND ITEM BUILD RECOMMENDATION FOR MOBILE LEGENDS: BANG BANG USING SASREC AND 1D CNN,Deep Learning / CV; Recommender System; AR/VR / Game
proj-cs230-015,AN EXPLAINABLE MACHINE LEARNING MODEL FOR EARLY PREDICTION OF STUDENT DROPOUT RISK IN SECONDARY SCHOOLS,Machine Learning; Data Analytics
proj-cs230-016,AI-POWERED MOBILE APPLICATION FOR UNIVERSITY STUDENTS’ EXPENSE TRACKING AND SPENDING PATTERN ANALYSIS USING MACHINE LEARNING TECHNIQUES,Machine Learning; Mobile App; Data Analytics
